Ticker,Empresa,Nota Asvid,Negócios,Nota IA,Setor,Retorno 1M,Retorno 1A,EBITDA (Var. %),Lucro Líq (Var. %),EV/EBITDA,P/L,DL/EBITDA,DL/EBITDA (Var. %),Valor de Mercado,Comentário Asvid
BLAU3,Blau Farmacêutica,4,"1,093",4,Saúde - Farmacêutico,-0.9769%,11.4%,-5%,-19%,6.3,9.8,0.04,0%,2.526B,"Interessante o resultado da Blau, está reestruturando o seu portfólio e começa a ter sinais positivos como o crescimento do EBITDA"
CEAB3,C&A,4,"11,636",3,Varejo - Vestuário Geral,-10.26%,-32.5%,-1.3%,-0.34%,2.8,6.4,0.1,0%,3.68B,"Achei a IA um pouco exigente aqui, o resultado veio um pouquinho abaixo do ano passado mas nada de mais"
ALPK3,Estapar,4,456,5,Transporte e Logística - Rodoviário,-2.826%,31.9%,2.9%,43%,4.2,47,2.4,1.3%,993.5M,"Estapar já chegou no equilíbrio contábil, falta agora deslanchar e começar a gerar valor de maneira consistente"
VIVA3,Vivara,4,"5,505",3,Varejo - Artigos de Luxo,-18.18%,-7.96%,0.11%,-5.6%,6.3,10,0.23,53%,5.369B,"Resultado contábil da Vivara assustou um pouco, mas pelo visto as vendas continuam bem, mesmo com as despesas disparando"
BRAV3,Brava Energia,4,"11,773",4,Petróleo e Gás,-3.039%,9.71%,12%,-84%,3.8,41,2,-13%,9.259B,"Resultado operacional da Brava foi bom, mas destaque para o impacto absurdo do hedge que a empresa fez no resultado financeiro"
MATD3,Hospital Mater Dei,4,619,5,Saúde - Serviços Hospitalares,-12.15%,8.35%,6%,11%,5.1,15,1.6,-4.8%,1.751B,"A Mater Dei é a mais nova empresa da saúde que está entregando resultados sólidos, realmente parece que viraram a chave"
LOGG3,Log CP,4,"2,636",5,Exploração Imobiliária,-5.328%,37.8%,11%,13%,6.6,5.9,3.3,-12%,2.258B,"Atenção para o resultado de avaliação de ativos impactando o resultado, fora isso parece que o negócio da Log é mesmo interessante"
VAMO3,Vamos,4,"6,306",4,Locação - Veículos,-29.04%,-20.3%,1.8%,-6.4%,4.3,13,3.2,-2.7%,4.118B,"Parece que a Vamos aos poucos está se recuperando das dores do crescimento, principalmente em relação às vendas dos ativos"
MLAS3,Multi,4,"1,006",5,Tecnologia,0%,67.3%,56%,48%,4.7,5.9,-,0%,1.387B,"Por incrível que pareça a Multilaser segue melhorando, um pouco de efeito cambial mas realmente parece que estão trabalhando bem"
GGPS3,Grupo GPS,4,"9,164",,Serviços Profissionais,-17.29%,-10.3%,0.6%,-3.3%,7.3,19,1.4,1.4%,9.811B,"Nunca achei o negócio do Grupo GPS muito animador, parece que só cresce no volume de aquisições sem gerar muito valor"
BRST3,Brisanet,4,768,4,Telecomunicações,-8.497%,0%,0.93%,-2.4%,3.9,35,2.2,0.91%,1.257B,"A Brisanet paga um pouco o preço do investimento acelerado, mas aos poucos vai crescendo o resultado também"
CVCB3,CVC,3,"2,195",2,Turismo e Lazer,-16.51%,-21.3%,-2.2%,160%,2.4,,0.47,160%,935.6M,"Um passo atrás na recuperação da CVC que parecia boa, as condições geopolíticas deram mais um golpe na empresa"
MBRF3,Marfrig,3,"9,249",3,Alimentos - Carnes e Derivados,-11.18%,-26%,-0.55%,-60%,5.7,98,3.9,1.3%,22.77B,"Depois de um cenário em que tudo estava perfeito, agora algumas das condições não tão favoráveis colocam a empresa sob pressão"
EVEN3,Even,3,"4,569",3,Construção Civil,-12.39%,-2.68%,-8.6%,-8.4%,7.5,5.3,2.4,21%,1.194B,"Até a Even está tentando se organizar, vendendo estoque pronto e tentando arrumar a casa, está no processo, vamos ver se consegue"
ECOR3,Ecorodovias,3,"7,803",4,Transporte e Logística - Concessões,-17.83%,35.5%,2.7%,-18%,4.8,8.3,3.9,1.3%,5.564B,"Bom crescimento operacional, mascarado por efeito não-caixa e resultado financeiro bem pesado. Dívida está bem complicada"
GOAU4,Metalúrgica Gerdau,3,"5,431",4,Holdings,9.916%,70.3%,6.4%,18%,2.7,6.8,1,-0.95%,13.4B,"Resultado basicamente igual ao da Gerdau, está sendo carregado pelas operações na América do Norte"
GGBR4,Gerdau,3,"6,139",4,Siderurgia,11.42%,60.7%,6.4%,18%,6.8,23,1,-0.95%,45.31B,"Resultado de siderurgia no Brasil está um desastre, mas quem tem operação no exterior está conseguindo salvar bem"
QUAL3,Qualicorp,3,"5,523",4,Seguros,-4.103%,-13.4%,-1.7%,29%,2.3,27,1.4,-6.7%,505.5M,"Um caso de base de comparação bem ruim, os resultados da Qualicorp não estão nada de mais, a empresa mal consegue dar lucro"
SUZB3,Suzano Papel,3,"9,172",3,Papel e Celulose,-11.93%,-19.9%,-0.79%,-15%,5.5,5.8,3.1,-1.3%,52.35B,"Resultado bem mais ou menos da Suzano, ainda que devido a fatores extraordinários como o câmbio e os preços do papel"
MGLU3,Magazine Luiza,3,"7,307",3,Varejo - Geral,-25.92%,-26.5%,-2.4%,-33%,2.8,50,1.1,21%,5.253B,"Resultado feio da Magazine Luiza, que mesmo alterando a estratégia, parece que só vai andar se o cenário econômico mudar muito"
DASA3,Dasa,3,"3,886",4,Saúde - Serviços Diagnósticos,-2.866%,75.3%,-6.7%,-9.9%,5.1,,2.8,13%,4.367B,"Alguns pontos positivos, como crescimento da receita e EBITDA, mas o resultado da Dasa continua sem empolgar muito"
LWSA3,LWSA,3,"3,454",5,Software e Serviços de TI,-12.23%,1.95%,-15%,-2.7%,,,-,0%,2.149B,"Os resultados cresceram bastante, é verdade, mas sobre uma base muito fraca, ainda não é bom, mas já é alguma coisa"
